NAME_1,NAME_2,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Population_2024,PSGC_Match_Info,Distance_from_Metro Manila_km,No_Work_Count
Isabela,SanGuillermo,20250,30639,30,10,1,21043,San Guillermo,253.16053209556915,0
Isabela,Palanan,41281,2510,40,2,1,18091,Palanan,316.8707316283504,0
Pangasinan,Bolinao,193560,123686,10,128,4,84658,Bolinao,232.9160685973558,0
Pangasinan,Anda,78326,106597,6,3,2,42688,Anda,223.54835233390676,0
Pangasinan,Bani,115566,22596,37,8,1,52715,Bani,224.76587893764545,0
Pangasinan,Agno,293940,297164,6,1,1,29270,Agno,221.83146838822043,0
Pangasinan,Burgos,148976,83917,6,1,1,10962,Burgos,207.51939009915856,0
Pangasinan,Dasol,207657,141232,7,1,1,31842,Dasol,202.07236277708083,0
Pangasinan,AlaminosCity,158048,117476,6,19,3,100430,City of Alaminos,212.17602391511332,0
Pangasinan,Sual,100144,16290,31,10,1,38625,Sual,200.03532064671373,0
Pangasinan,Mabini,110858,116732,7,1,1,26589,Mabini,207.8977168574192,7
Pangasinan,Labrador,114287,30401,11,4,3,26995,Labrador,189.34549985763528,0
Pangasinan,Lingayen,25696,4996,9,1,1,108510,Lingayen ,184.2058266350189,0
Pangasinan,Bugallon,67290,65583,23,49,2,76027,Bugallon,177.84170870369255,0
LaUnion,Bauang,67033,66018,6,40,18,77670,Bauang,230.70824099179956,0
LaUnion,Naguilian,37558,41750,8,2,1,53443,Naguilian,227.00525908379103,0
LaUnion,Caba,28957,26698,5,4,1,23432,Caba,217.18868259853272,0
LaUnion,Burgos,17944,10823,31,4,1,10962,Burgos,224.02324719196085,0
Benguet,Sablan,101628,107151,5,1,1,12436,Sablan,218.69263028142856,0
Benguet,LaTrinidad,64535,126385,3,1,1,142925,La Trinidad ,212.90903487651755,0
LaUnion,Aringay,95932,82791,4,6,5,50786,Aringay,212.41919550605323,1
LaUnion,Agoo,34850,12093,33,12,2,65256,Agoo,206.77942220785243,0
LaUnion,Tubao,255861,182169,4,4,2,31868,Tubao,206.6300022972003,0
LaUnion,SantoTomas,73766,56835,3,7,3,42777,Santo Tomas,201.9796257076519,0
Benguet,Tuba,204689,139667,6,1,1,49268,Tuba,211.69758517973344,0
Benguet,BaguioCity,286958,338595,4,1,1,368426,City of Baguio,210.20465719991037,0
LaUnion,Pugo,3133,2252,23,2,1,19107,Pugo,200.99309920491504,0
LaUnion,Rosario,107487,101051,5,2,2,58797,Rosario,197.7224055126768,0
Benguet,Bokod,56982,41685,4,1,1,16071,Bokod,221.13838648087173,0
Benguet,Tublay,291392,348943,3,1,1,20886,Tublay,218.8216021961225,0
NuevaVizcaya,Kayapa,10827,2609,52,14,1,27865,Kayapa,207.843868789372,0
Benguet,Itogon,540531,425389,10,1,1,59736,Itogon,208.83105853404683,0
Pangasinan,SanFabian,89831,64942,36,9,3,87714,San Fabian,182.90544611361648,0
Pangasinan,Sison,125565,224681,3,3,2,51439,Sison,188.0944006101236,0
Pangasinan,Pozzorubio,37609,38331,24,3,3,0,,181.0332441975598,0
